크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
2021년 3월 9일,본오동,청년치킨-상록수점,an**님,2021년 3월 9일,청년 간장치킨 마늘단짠~/1(뼈or순살 선택(뼈＋콜라500mL)),맛있네용 양도 많구 잘먹었습니다,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다또 만나여 ㅂㅇ즐거운 하루 되시고 늘 행복하세요 ㅇ,https://rev-static.yogiyo.co.kr/f7d97b4c0ab9b354214c52bf85792c91_tn.jpg
2021년 3월 9일,본오동,청년치킨-상록수점,yo**님,2021년 3월 9일,"청년 양념치킨 달콤한~/1(뼈or순살 선택(뼈＋콜라500mL)),청년 뿌링치즈치킨 강추!/1(뼈or순살 선택(뼈＋콜라500mL))",맛. 양. 배달  모두 만족스럽네요~~진짜 오래만에 맛있게 치킨먹었어요^^,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다오랜만에 드셨는데 맛이없었으면 별점이  생각만 해도 눈물이 벌써 훌쩍기분좋습니다 고객님께서 오랜만에 드시는데 모두 만족하셨어요 치킨이 생각날때 꼭 청년치킨을 찾아주셔용또 만나여 ㅂㅇ즐거운 하루 되시고 늘 행복하세요 ㅇ,이미지는 없어요
2021년 3월 8일,본오동,청년치킨-상록수점,ro**님,2021년 3월 8일,청년 후라이드 바삭매콤/1(뼈or순살 선택(뼈＋콜라500mL)),배달 정말 빨리옵니다.씻고나면 오겠지 했는데씻는도중에 옴.소스 주문하길 잘한 것 같아요.실속팩 소스하나로 5가지맛 입맛대로 찍서먹어서 입이즐거워요.재주문각,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다헉배달이 그정도면 너무 빨리간거아닌가요 어이쿠 소스는 어떤게 제일 맛있으셨는지 궁금합니다저는 개인적으로 화이트소스가 제일 조아용다음번에 주문해주실때 뿌링치킨이랑 화이트소스 같이드시면 아주 입에서 닭들이 춤을춥니다 다음에 꼭 다른 도전을 해보시는것 강추드려용또 만나여 ㅂㅇ즐거운 하루 되시고 늘 행복하세요 ㅇ,https://rev-static.yogiyo.co.kr/255f2e4cf7e4fb9b961a6730a6bd2d3f_tn.jpg
2021년 3월 8일,본오동,청년치킨-상록수점,ve**님,2021년 3월 8일,청년（후반＋간장반）/1(뼈or순살 선택(순살＋콜라500mL)),맛나게 잘 먹었어요 ~~!!☆,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다또 만나여 ㅂㅇ즐거운 하루 되시고 늘 행복하세요 ㅇ,이미지는 없어요
2021년 3월 8일,본오동,청년치킨-상록수점,me**님,2021년 3월 8일,"청년（후반＋양반）/1(뼈or순살 선택(순살＋콜라500mL)),치즈 양념 감자튀김 ~ 치즈가루 듬뿍/1",맛있게 먹었습니다. 치즈가루 2개나 주셔서 듬뿍 뿌려먹었네요,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다혹시라도 고객님께서 부족하실까 할일 없게끔 많이아주많이많이 챙겨드리고있어요치킨에도 드시도록 뿌링치킨도 강추강추 해봅니다또 만나여 ㅂㅇ즐거운 하루 되시고 늘 행복하세요 ㅇ,이미지는 없어요
2021년 3월 8일,본오동,청년치킨-상록수점,rk**님,2021년 3월 8일,"청년（양념반＋간장반）/1(뼈or순살 선택(순살＋콜라500mL),추가선택(콜라1.25L로 변경,화이트소스 추가))",뜨끈뜨끈맛있고 리뷰이벤트도 좋고특히 배달이 아주빨리와서 아주좋아유,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다리뷰이벤트 뿅 배달도 뿅 하고 아주 좋으셨쥬 따뜻한 치킨을 만나셔서 제 마음이 다 편안합니다또 만나여 ㅂㅇ즐거운 하루 되시고 늘 행복하세요 ㅇ,이미지는 없어요
2021년 3월 8일,본오동,청년치킨-상록수점,ki**님,2021년 3월 8일,"청년 후라이드 바삭매콤/1(뼈or순살 선택(뼈＋콜라500mL)),테라생맥주 1000cc/1",맛있긴한데 갠적으로 순살보단 뼈가 더 맛나네요..다음엔 뼈만 먹는걸로,3,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다음 순살에 남겨주신 별점인가요 흑흣 ㅠㅠ 두마리 토끼를 다 잡고싶었는데 한마리는 놓치고 말았읍니다ㅜㅜ고객님에 입맛에 안맞으셨나봐요 순살도 만족하시도록 이 청년치킨 더 노력하겠습니다또 만나여 ㅂㅇ즐거운 하루 되시고 늘 행복하세요 ㅇ,이미지는 없어요
2021년 3월 7일,본오동,청년치킨-상록수점,aj**님,2021년 3월 7일,"청년 후라이드 바삭매콤/1(뼈or순살 선택(뼈＋콜라500mL),반마리 추가선택(양념 반마리（뼈）추가))",너무 맛있어요! 소스도!!,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다맛있으셨나요 다음에 주문하실땐 다른 양념과 소스를 조합하여 드셔보시는것도 좋을것같아요또 만나여 ㅂㅇ즐거운 하루 되시고 늘 행복하세요 ㅇ,https://rev-static.yogiyo.co.kr/c0649cdb271e75c9c2d2800291811f9f_tn.jpg
2021년 3월 7일,본오동,청년치킨-상록수점,rl**님,2021년 3월 7일,청년 후라이드 바삭매콤/1(뼈or순살 선택(뼈＋콜라500mL)),배달 빠르고 맛도 좋네요,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다사진에 깜쫙 쒀븨스가 있네용 다음에 또 주문해주시면 아주 좋겠어요해주세요또 만나여 ㅂㅇ즐거운 하루 되시고 늘 행복하세요 ㅇ,https://rev-static.yogiyo.co.kr/442e3b02977f063e15e40cc18cc4c43e_tn.jpg
2021년 3월 7일,본오동,청년치킨-상록수점,mc**님,2021년 3월 7일,청년 후라이드 바삭매콤/1(뼈or순살 선택(순살＋콜라500mL)),"첫주문인데, 배달도 빨리왔고 맛있게 잘먹었습니다 ^^",5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다첫 주문 이셨는데 음식과 배달에 만족하셔서 다행입니다 이제부터 치킨은 청년치킨이 생각나시겠죠 ㅎㅎ앞으로 자주 뵈면 좋겠습니다또 만나여 ㅂㅇ즐거운 하루 되시고 늘 행복하세요 ㅇ,https://rev-static.yogiyo.co.kr/543cbea5a375b196ee82ea3e60b12e0f_tn.jpg
2021년 3월 7일,본오동,청년치킨-상록수점,el**님,2021년 3월 7일,청년（후반＋양반）/1(뼈or순살 선택(순살＋콜라500mL)),다른 치킨 집에비해 치킨이 깔끔하고 정말 맛있어서 다음에도 시켜먹을거 같아요 추천드립니다,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다치킨이 깔끔하고 정말 맛있다는건 정말 최고의 극찬입니다아제가 생각하기엔 고객님께서 분명 다음에도 시키실것같아용또 만나여 ㅂㅇ즐거운 하루 되시고 늘 행복하세요 ㅇ,https://rev-static.yogiyo.co.kr/ca934d63e882c45807510a9c8c3b87b0_tn.jpg
2021년 3월 6일,본오동,청년치킨-상록수점,rk**님,2021년 3월 6일,청년（뿌링치즈반＋매운양념반）/1(뼈or순살 선택(순살＋콜라500mL)),오 처음 먹어봤는데배달도 빠르고 맛있네요!!!,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다뿌링치즈와 매운양념을 드셨군요배달이 빠르게 도착하여 따끈한 치킨을 맛있게 드셔주셨어요만족하셨으니 치킨생각나면 청년치킨을 이용해주세요 마음껏 이용당하겠습니다또 만나여 ㅂㅇ즐거운 하루 되시고 늘 행복하세요 ㅇ,https://rev-static.yogiyo.co.kr/90a9e792492c1bb5d867f3bb9e739268_tn.jpg
2021년 3월 6일,본오동,청년치킨-상록수점,qq**님,2021년 3월 6일,"청년 양념치킨 달콤한~/1(뼈or순살 선택(뼈＋콜라500mL)),청년1人세트（핫간장반＋치즈양념감자＋콜라500mL）/1(뼈or순살 선택(뼈)),청년（뿌링치즈반＋간장반）/1(뼈or순살 선택(뼈＋콜라500mL)),펩시콜라1.25L/3",아이들이 완전 맛있게 먹어요 ~^^강~~~~추,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다강추 아이들이 혹시 맵다고 울진 않았을까 걱정입니다 ㅎㅎ다행입니다여또 만나여 ㅂㅇ즐거운 하루 되시고 늘 행복하세요 ㅇ,https://rev-static.yogiyo.co.kr/5b32e8ee5a36ab3904e3291fcd4359b1_tn.jpg
2021년 3월 4일,본오동,청년치킨-상록수점,ht**님,2021년 3월 4일,청년（후반＋간장반）/1(뼈or순살 선택(뼈＋콜라500mL)),치킨은 청치에서~~넘맛이씀!,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다또 만나여 ㅂㅇ즐거운 하루 되시고 늘 행복하세요 ㅇ,https://rev-static.yogiyo.co.kr/738e91553a7f71433fd16be3f3f26042_tn.jpg
2021년 3월 4일,본오동,청년치킨-상록수점,ha**님,2021년 3월 4일,청년（후반＋양반）/1(뼈or순살 선택(뼈＋콜라500mL)),진짜 맛있어요!!!유명 치킨체인점 말고 다른데에서 시켜먹어보고싶다 생각해서 시켰는데 처음시켜보는거라 걱정했는데 너무너무 맛있어요!!!다른분들한데도 강추합니다.그 후라이드는 먹다보면 느낄할수도 있는데여기는 아주 사알짝!매콤해서 절대 느끼하지 않고 양념치킨 양념도 완전 매콤달콤의 최고봉이예요!!치킨 덩어리들이 먹기엔 좀 커서 당황했지만 추천추천 아주만족 베리굳 동네에서 치킨맛집 인정합늬다!,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다아주아주 베리베리 굳굳굳한 리뷰를 남겨주셔서 몸둘바를으읏치킨 덩어리가 먹기에 크셨다면용 다음에 주문하실때 요청 사항에 남겨주시면 더 조각내서 보내드리께오 또 만나여 ㅂㅇ즐거운 하루 되시고 늘 행복하세요 ㅇ,https://rev-static.yogiyo.co.kr/1c4781b32629bc13c95030f98e555ec3_tn.jpg
2021년 3월 4일,본오동,청년치킨-상록수점,qk**님,2021년 3월 4일,청년 후라이드 바삭매콤/1(뼈or순살 선택(뼈＋콜라500mL)),얼음컵 서비스 너무 섬세하고 맛있게 잘먹었습미다!,4,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다그렇게 막 섬세할것까진없는데잉헿맛있게 드셔주셔서 너무 감사합니당즐거운 하루 되시고 늘 행복하세요 ㅇ,https://rev-static.yogiyo.co.kr/be4c793c2215cf5a69aea430652220d9_tn.jpg
2021년 3월 3일,본오동,청년치킨-상록수점,gq**님,2021년 3월 3일,"청년（뿌링치즈반＋후반）/1(뼈or순살 선택(순살＋콜라500mL),추가선택(콜라1.25L로 변경),반마리 추가선택(핫간장 반마리（순살）추가))",시킬 때마다 만족스럽습니다 순살 시켰는데 양이 엄청 많아서 한 번에 다 못 먹고 여러번 나눠서야 다 먹을 수 있었네요 맛도 만족스러웠습니다,5,5,5,고객님 소중한 리뷰 남겨주셔서 감사합니다엨 위가 저처럼 작으신가보다 항상 넉넉하게 챙겨드리니 걱정 말고 또드시고 또 드시길 바랍니다아즐거운 하루 되시고 늘 행복하세요 ㅇ,이미지는 없어요
