크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
2021년 9월 12일,사동,BHC-안산사동점,ja**님,2021년 9월 12일,뿌링클 콤보＋치즈볼/1(변경&추가(뿌링 치즈볼로 변경)),늘 먹던 그맛 잘먹었어요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 11일,사동,BHC-안산사동점,eb**님,2021년 9월 11일,뿌링클/1(디저트(달콤바삭치즈볼)),요기요로 첨 주문해봐요,4,5,4,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 11일,사동,BHC-안산사동점,1c**님,2021년 9월 11일,"하바네로 포테킹 후라이드/1,뿌링클 콤보/1",진리입니다~정말 ㅇ맛있어요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 11일,사동,BHC-안산사동점,ha**님,2021년 9월 11일,포테킹 후라이드/1(디저트(뿌링치즈볼)),맛있슴다..! 벌써 포테킹만 3번째ㅋㅋ 은근 중독되네요감자가 뭍어서인지 일반 후라이드보다 양이 많아서1인 1닭하는 사람도 좀 남기는 정도에요 :),5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 9일,사동,BHC-안산사동점,21**님,2021년 9월 9일,뿌링클 콤보/1,나이스 치킨 .좋아해요~,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 9일,사동,BHC-안산사동점,li**님,2021년 9월 9일,뿌링클 콤보＋치즈볼/1(옵션(콜라1.25L)),신속 친절 맜있어요 흥하세요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 8일,사동,BHC-안산사동점,ka**님,2021년 9월 8일,커리퀸/1,커리퀸 첨 먹어봤는데 맛있네여,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 5일,사동,BHC-안산사동점,nk**님,2021년 9월 5일,"뿌링클순살/1,후라이드/1",매주 주문하는 맛집이네요 너무 맛있어요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 5일,사동,BHC-안산사동점,ce**님,2021년 9월 5일,"뿌링클 콤보/1,골드킹 콤보/1","뿌링클 첨 먹어봤는데, 넘 맛있어요재주문의사 있어요",5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 5일,사동,BHC-안산사동점,nk**님,2021년 9월 5일,"맛초킹순살/1,후라이드/1(옵션(콜라1.25L))",너무 맛있어서 자꾸 주문하게 돼요.  맛초킹은 적당히 매콤해서 자꾸 손이가요 ^^,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 4일,사동,BHC-안산사동점,je**님,2021년 9월 4일,골드킹 콤보＋치즈볼/1,"저희애들 뿌링클, 골드킹 넘좋아해요~ 가까운곳에 있다고 어찌나 좋아하는지~~ 배달이 예상시간보다 훨씬 빨리왔어요. 치즈볼은 도착하자마자 순삭. 사진찍지도 못했는데 이미 발골을 시작한 아이들😅",5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/55d313b5718f4e0e65834f05b0ab795b_tn.jpg
2021년 9월 4일,사동,BHC-안산사동점,40**님,2021년 9월 4일,"뿌링클 콤보＋치즈볼/1,골드킹 콤보＋치즈볼/1",배달 짱빠르고 맛있어요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 3일,사동,BHC-안산사동점,ja**님,2021년 9월 3일,뿌링클순살/1,동생이 혼자 자취해서 자주 시켜줍니다 앞으로도 깨끗하게 만들어 주세요 감사합니다,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 3일,사동,BHC-안산사동점,gi**님,2021년 9월 3일,뿌링클순살/1,맛있어요다음에 또 먹고 싶어요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
