No.,2VF1 B,3VF1 G,4VF1 R,5IR B,6IR G,7IR R,8VF B,9VF G,10VF R,11LMD B,12LMD G,13LMD R
353,2.23,1.948,1.409,0.011,0.012,0.007,3.073,3.431,2.431,458.6,524.3,621.7
354,2.25,1.931,1.396,0.007,0.011,0.011,3.44,3.359,2.335,458.7,523.9,621.4
355,2.268,1.932,1.394,0.007,0.012,0.011,3.382,3.353,2.333,457.3,523.9,621.6
356,2.266,1.943,1.407,0.007,0.011,0.012,3.217,3.382,2.318,457.7,521.2,622.1
357,2.265,1.933,1.393,0.013,0.013,0.007,3.3,3.353,2.433,457.4,523.9,622
358,2.255,1.939,1.415,0.007,0.011,0.01,3.483,3.313,2.372,458.8,523.6,621.7
359,2.264,1.938,1.41,0.012,0.012,0.007,3.115,3.293,2.41,457.5,523.7,621.8
360,2.251,1.942,1.406,0.007,0.012,0.011,3.175,3.362,2.321,457.4,521.4,622.1
361,2.278,1.933,1.394,0.008,0.012,0.014,3.397,3.353,2.336,457.2,523.8,622
362,2.263,1.94,1.407,0.008,0.013,0.016,3.214,3.361,2.319,457.6,521.4,622.1
363,2.266,1.941,1.407,0.009,0.014,0.014,3.235,3.419,2.314,458.5,524.2,622.1
364,2.206,1.93,1.398,0.007,0.013,0.015,3.192,3.375,2.32,457.8,523.6,621.5
365,2.244,1.938,1.411,0.014,0.014,0.011,3.068,3.292,2.438,458.7,523.6,621.6
366,2.191,1.931,1.398,0.009,0.013,0.014,3.171,3.35,2.318,457.8,523.3,621.5
367,2.26,1.912,1.399,0.008,0.012,0.015,3.415,3.377,2.321,457.8,523.9,621.5
368,2.253,1.933,1.399,0.013,0.014,0.008,3.408,3.359,2.409,458.8,523.6,621.3
369,2.271,1.938,1.41,0.011,0.013,0.007,3.065,3.295,2.42,458.2,523.8,621.8
370,2.28,1.945,1.407,0.007,0.012,0.01,3.148,3.435,2.325,459.5,524,622.2
371,2.245,1.925,1.397,0.007,0.011,0.011,3.167,3.381,2.315,457.7,523.5,621.6
372,2.218,1.931,1.4,0.011,0.012,0.006,3.103,3.358,2.413,458.5,523.6,621.5
373,2.199,1.93,1.398,0.007,0.012,0.01,3.173,3.375,2.316,457.6,523.6,621.6
374,2.259,1.937,1.409,0.007,0.012,0.011,3.168,3.289,2.353,457.5,523.6,621.6
375,2.225,1.933,1.399,0.013,0.012,0.007,3.098,3.354,2.4,457.6,523,621.7
376,2.268,1.937,1.412,0.012,0.013,0.007,3.114,3.301,2.424,457.4,524,621.6
377,2.27,1.937,1.408,0.007,0.011,0.011,3.248,3.354,2.312,457.3,521.3,622.4
378,2.25,1.94,1.411,0.012,0.012,0.006,3.351,3.302,2.435,458.8,523.9,621.6
379,2.249,1.944,1.409,0.012,0.012,0.007,3.089,3.43,2.418,458.1,524.6,622.1
380,2.262,1.94,1.409,0.012,0.013,0.007,3.106,3.365,2.412,457.4,521.4,622.1
381,2.266,1.938,1.41,0.008,0.012,0.011,3.185,3.316,2.336,457.3,523.8,621.6
382,2.178,1.93,1.399,0.011,0.012,0.007,3.094,3.371,2.4,457.6,523.6,621.6
383,2.266,1.942,1.406,0.007,0.012,0.011,3.207,3.381,2.319,457.7,521.2,622
384,2.26,1.942,1.408,0.012,0.014,0.007,3.095,3.37,2.404,458.7,521.1,622
385,2.278,1.943,1.408,0.013,0.013,0.007,3.11,3.426,2.402,457.4,524.8,622.1
386,2.275,1.94,1.407,0.008,0.013,0.011,3.209,3.419,2.316,457.5,524.1,622
