No.,15IV B,16IV G,17IV R,8VF B,9VF G,10VF R,11LMD B,12LMD G,13LMD R
78239,2.1154,8.939,7.022,3.361,3.81,2.405,457.6,524.8,621.3
78240,2.2549,8.885,7.05,3.408,3.401,2.392,459.2,525,621.5
78241,2.0314,8.703,7.082,3.355,3.968,2.43,457.7,523.8,621.3
78242,2.2794,9.019,7.23,3.42,3.794,2.415,459.8,525,621.2
78243,2.0883,8.785,6.984,3.247,3.513,2.777,457.9,525.3,621.5
78244,2.1984,8.763,7.078,3.232,3.518,2.624,459.6,524.1,621.3
78245,2.1166,8.647,7.145,3.377,3.443,2.42,457.7,525.5,621.1
78246,2.0712,8.784,7.064,3.416,3.513,2.392,457.8,524.6,621.5
78247,2.0443,8.681,7.056,3.452,3.807,2.419,457.9,524.2,621.3
78248,2.038,8.848,6.509,3.364,3.777,2.41,457.6,525,621.9
78249,2.0863,8.746,6.979,3.113,3.762,2.576,457.7,524.4,621.4
78250,2.1095,8.687,7.018,3.151,3.581,2.584,457.6,526.3,621.2
78251,2.0494,8.805,6.948,3.464,3.817,2.377,457.9,525.4,621.7
78252,2.1351,8.778,7.006,3.387,3.577,2.416,457.6,525.1,621.6
78253,2.0453,8.795,6.571,3.111,3.923,2.642,457.7,525,621.5
78254,2.0585,8.649,6.99,3.302,3.808,2.428,457.5,524.1,621.3
78255,2.1472,8.841,7.113,3.295,3.645,2.447,458.1,524.2,621.3
78256,2.0683,8.516,7.011,3.28,3.61,2.574,457.9,526.3,621.5
78257,2.2109,8.57,7.038,3.2,3.769,2.639,458.9,524.7,621.1
78258,2.1476,8.663,7.093,3.284,3.467,2.622,458,524.4,621.4
78259,2.2247,8.929,7.145,3.444,3.598,2.446,459.6,524.6,621.3
78260,2.0599,8.891,7.098,3.306,3.626,2.407,457.6,524.7,621.3
78261,2.1501,8.853,7.101,3.466,3.695,2.44,458.5,525.7,621.3
78262,2.2561,8.775,7.03,3.31,3.732,2.419,459.8,524.4,621.2
78263,2.0922,8.88,7.017,3.432,3.803,2.504,457.7,524.7,621.4
78264,2.1,8.69,7.079,3.445,3.594,2.37,457.8,525.7,621.5
78265,2.0631,8.902,7.139,3.299,3.818,2.402,457.6,525.3,621.3
78266,2.0658,8.86,7.089,3.449,3.49,2.408,457.5,526.3,621.5
78267,2.0664,9.026,7.151,3.437,3.41,2.405,457.5,525.8,621.3
78268,2.1799,8.814,7.001,3.208,3.484,2.589,459,526.4,621.4
78269,2.1041,8.821,7.139,3.264,3.763,2.642,457.8,525.1,621.4
78270,2.3557,8.83,7.046,3.108,3.644,2.638,460.1,523.8,621.2
78271,2.1355,9.079,6.967,3.483,3.62,2.48,458.4,524.4,621.4
78272,2.1557,8.609,6.954,3.338,3.607,2.385,458.5,524.2,621.4
78273,2.2086,8.542,7.001,3.511,3.607,2.41,458.5,524.3,621.4
